dataset,codec,payload_bytes,realized_ratio,detector,path,seed,point_f1,event_f1,pr_auc,vus_pr,tau,rmse,gpu_model
Chaos,Q8,1208,3.9735099337748343,PCA,A,45,0.8869047619047619,0.4,0.9844507205681863,0.9953201924508536,0.1369661533742599,0.0038555737989233083,cpu
Chaos,Q8,1208,3.9735099337748343,IF,A,45,0.8363636363636363,0.35294117647058826,0.9028874524641691,0.9692652868247571,0.5192811486790059,0.0038555737989233083,cpu
Chaos,Q4,608,7.894736842105263,PCA,A,45,0.24937655860349128,0.07999999999999999,0.9861604489960154,0.9956574714602252,0.1369661533742599,0.06597900354548772,cpu
Chaos,Q4,608,7.894736842105263,IF,A,45,0.6194690265486725,0.11594202898550725,0.9078110477689593,0.9617842046053832,0.5192811486790059,0.06597900354548772,cpu
Chaos,R4,150,32.0,D4,B,45,0.23300970873786409,0.6,0.252676430046449,0.2674862919307526,2.305847397772907,,cpu
UCR,R0,191508,1.0,PCA,A,45,0.0,0.0,0.017173796160057642,0.01772852378197879,1795475.2652261332,0.0,cpu
UCR,R0,191508,1.0,IF,A,45,0.2773722627737226,0.06666666666666667,0.21049248836988504,0.19678084538419882,0.6221290983909836,0.0,cpu
UCR,Q8,47885,3.999331732275243,PCA,A,45,0.0,0.0,0.0171982980097452,0.017752716625022334,1795475.2652261332,2.195143514272782,cpu
UCR,Q8,47885,3.999331732275243,IF,A,45,0.2765647743813683,0.06557377049180328,0.21025143385695821,0.19418050628287123,0.6221290983909836,2.195143514272782,cpu
UCR,Q4,23947,7.997160395874222,PCA,A,45,0.0,0.0,0.016781442177957184,0.017122519713871985,1795475.2652261332,37.061409523856035,cpu
UCR,Q4,23947,7.997160395874222,IF,A,45,0.28233555062823357,0.0689655172413793,0.23175667350132084,0.19533515440014168,0.6221290983909836,37.061409523856035,cpu
UCR,R4,5984,32.0,D4,B,45,0.010554089709762533,0.020618556701030924,0.014364408040079917,0.01469506988441553,4.775144943067589,,cpu
Spike,R0,4800,1.0,PCA,A,46,0.5633802816901409,1.0,0.31035546761130606,0.7152995502492544,0.3234905856388554,0.0,cpu
Spike,R0,4800,1.0,IF,A,46,0.45977011494252873,0.1111111111111111,0.3711642000558707,0.7848072994514148,0.5113346459878717,0.0,cpu
Spike,Q8,1208,3.9735099337748343,PCA,A,46,0.5633802816901409,1.0,0.31203025116108957,0.7238809710372437,0.3234905856388554,0.005525618066945433,cpu
Spike,Q8,1208,3.9735099337748343,IF,A,46,0.43478260869565216,0.08333333333333333,0.37382718679531846,0.7861224567595179,0.5113346459878717,0.005525618066945433,cpu
Spike,Q4,608,7.894736842105263,PCA,A,46,0.034782608695652174,0.25,0.3011510893910276,0.7050612658751624,0.3234905856388554,0.09706465699037732,cpu
Spike,Q4,608,7.894736842105263,IF,A,46,0.09950248756218906,0.015625,0.31481375441927895,0.7446935878218826,0.5113346459878717,0.09706465699037732,cpu
Spike,R4,150,32.0,D4,B,46,0.0,0.0,0.01665702160493827,0.049256214524237056,2.204063997877275,,cpu
Rhythm,R0,4800,1.0,PCA,A,46,0.8923076923076924,1.0,0.6944892470251426,0.8437014549027841,0.12586728107933423,0.0,cpu
Rhythm,R0,4800,1.0,IF,A,46,0.8282208588957055,0.4,0.7093178815459237,0.8517376972197136,0.520332918876926,0.0,cpu
Rhythm,Q8,1208,3.9735099337748343,PCA,A,46,0.8923076923076924,1.0,0.6954827997197065,0.8444467263595284,0.12586728107933423,0.0025345171262351985,cpu
Rhythm,Q8,1208,3.9735099337748343,IF,A,46,0.8195718654434251,0.3157894736842105,0.7026923887226563,0.8495202048747634,0.520332918876926,0.0025345171262351985,cpu
Rhythm,Q4,608,7.894736842105263,PCA,A,46,0.40214477211796246,0.06451612903225806,0.7077010298841667,0.8515880182754524,0.12586728107933423,0.04369662907849491,cpu
Rhythm,Q4,608,7.894736842105263,IF,A,46,0.7840909090909091,0.2285714285714286,0.7151133470850971,0.8545493207691105,0.520332918876926,0.04369662907849491,cpu
Rhythm,R4,150,32.0,D4,B,46,0.6870229007633588,0.8571428571428571,0.6288127309269005,0.6823116455831912,1.6140896298884355,,cpu
Drift,R0,4800,1.0,PCA,A,46,0.7945516458569807,1.0,0.7575557479828998,0.8349682509349069,0.12634620234088004,0.0,cpu
Drift,R0,4800,1.0,IF,A,46,0.7832957110609481,0.7727272727272727,0.8550878522173857,0.9006107279968368,0.5284553456995661,0.0,cpu
Drift,Q8,1208,3.9735099337748343,PCA,A,46,0.7959183673469388,1.0,0.7534321710233026,0.8303007834979856,0.12634620234088004,0.003911089406487786,cpu
Drift,Q8,1208,3.9735099337748343,IF,A,46,0.7824126268320181,0.761904761904762,0.8541823598234503,0.8999224788663561,0.5284553456995661,0.003911089406487786,cpu
Drift,Q4,608,7.894736842105263,PCA,A,46,0.5991611743559018,1.0,0.66986423351213,0.7476754870360451,0.12634620234088004,0.07017618016910783,cpu
Drift,Q4,608,7.894736842105263,IF,A,46,0.7256317689530686,0.4893617021276596,0.80183116277997,0.8480411956635453,0.5284553456995661,0.07017618016910783,cpu
Drift,R4,150,32.0,D4,B,46,0.20915032679738563,0.7368421052631579,0.4586074546421675,0.5115260847918167,2.0862921667896197,,cpu
Drift,R4-decode,150,32.0,PCA,A,46,0.5991611743559018,1.0,0.3552436154820569,0.398860260379558,0.12634620234088004,0.35240559376074476,cpu
Chaos,R0,4800,1.0,PCA,A,46,0.8996960486322189,1.0,0.9884472337124004,0.9971122563474853,0.12634620234088004,0.0,cpu
Chaos,R0,4800,1.0,IF,A,46,0.8228228228228228,0.2608695652173913,0.9222954299299456,0.9712521014388332,0.5284553456995661,0.0,cpu
Chaos,Q8,1208,3.9735099337748343,PCA,A,46,0.9030303030303031,1.0,0.9884472337124004,0.9971122563474853,0.12634620234088004,0.003698110007594416,cpu
Chaos,Q8,1208,3.9735099337748343,IF,A,46,0.8106508875739645,0.24000000000000002,0.9239310829460984,0.9722627140235017,0.5284553456995661,0.003698110007594416,cpu
Chaos,Q4,608,7.894736842105263,PCA,A,46,0.26881720430107525,0.07999999999999999,0.9796026077338736,0.9954392440138666,0.12634620234088004,0.06188716737124652,cpu
Chaos,Q4,608,7.894736842105263,IF,A,46,0.6261261261261262,0.06779661016949151,0.9142582468852258,0.9695717584168313,0.5284553456995661,0.06188716737124652,cpu
Chaos,R4,150,32.0,D4,B,46,0.07207207207207207,0.19999999999999998,0.16795211842580263,0.1821052712527539,2.0862921667896197,,cpu
UCR,R0,191508,1.0,PCA,A,46,0.0,0.0,0.017173796160057642,0.01772852378197879,1795475.2652261332,0.0,cpu
UCR,R0,191508,1.0,IF,A,46,0.2606924643584521,0.07692307692307693,0.18461191734511015,0.15884415485901204,0.6188903251861831,0.0,cpu
UCR,Q8,47885,3.999331732275243,PCA,A,46,0.0,0.0,0.0171982980097452,0.017752716625022334,1795475.2652261332,2.195143514272782,cpu
